41
 simulation time
 STEAM DOME PRESSURE
 REACTOR POWER
 RECIRCULATION FLOW
 FINE COLLAPSED LEVEL OF REACTOR VESSEL
 COARSE COLLAPSED LEVEL OF REACTOR VESSEL
 FEEDWATER FLOW
 STEAM FLOW
 FLOW OF SYSTEM 314
 FLOW OF SYSTEM 323
 FLOW OF SYSTEM 327
 PRIMARY STEAM LINE BREAK FLOW
 SECONDARY STEAM LINE BREAK FLOW
 DRYWELL PRESSURE
 WETWELL PRESSURE
 ROTATION SPEED OF RECIRCULATION PUMP
 TOTAL STEAM LINE BREAK FLOW
 GAS TEMPERATURE OF DRYWELL
 GAS TEMPERATURE OF WETWELL
 LIQUID TEMPERATURE OF WETWELL
 MASS OF COOLANT IN REACTOR VESSEL
 INTEGRATED STEAM LINE BREAK FLOW
 INTEGRATED ENTHALPY OF STEAM LINE BREAK FLOW
 LEVEL OF REACTOR VESSEL MEASURED FROM DC AND
 MASS FLOW OF RECIRCULATION PUMPS
 SPECIFIC ENTHALPY OF STEAM LINE BREAK FLOW
 FLOW OF SYSTEM 322
 ROTATION SPEED OF MOTOR OF RECIRCULATION PUMP
 WATER LEVEL OF WETWELL
 MASS FLOW OF LAST PIPE IN SYSTEM 314
 MASS FLOW OF VENT PIPES
 SPRAY MASS FLOW TO DRYWELL
 TEMPERATURE OF SPRAY GOING TO DRYWELL
 SPRAY MASS FLOW TO WETWELL
 TEMPERATURE OF SPRAY GOING TO WETWELL
 SIMULATION TIME STEP
 NUMBER OF ITERATIONS
 NUMBER OF ITERATIONS BY SIX-EQUATION MODEL
 INTEGRATED MASS ERROR OF LIQUID
 INTEGRATED MASS ERROR OF STEAM
 INTEGRATED MASS ERROR OF NONCONDENSABLE GAS
    2.600000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.62        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787711      -0.7796814E-01  -0.1374850E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308413       -2.333460      -0.4527349E-11
    2.700000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.61        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787710       0.7793403E-01  -0.1228483E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230474       -2.333460      -0.4527669E-11
    2.800000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.60        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787709      -0.7771405E-01  -0.1098571E-08    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308197       -2.333460      -0.4526961E-11
    2.900000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.60        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787708       0.7793485E-01  -0.9830661E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230258       -2.333460      -0.4526919E-11
    3.000000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.42        97554.60        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787707      -0.7781924E-01  -0.8808915E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308086       -2.333460      -0.4527988E-11
    3.100000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.42        97554.60        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787707       0.7784799E-01  -0.7901858E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230231       -2.333460      -0.4527682E-11
    3.200000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.42        97554.61        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787706      -0.7787123E-01  -0.7103804E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308111       -2.333459      -0.4527072E-11
    3.300000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.61        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787706       0.7781322E-01  -0.6400364E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230294       -2.333459      -0.4527502E-11
    3.400000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.62        1273.127        0.000000        316.7656        293.2723        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787706      -0.7789955E-01  -0.5798039E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308203       -2.333459      -0.4527460E-11
    3.500000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.62        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705       0.7778939E-01  -0.5308000E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230407       -2.333459      -0.4528376E-11
